model_name,TP (Kas_Gearty_no_cut)_rk,FP (Kas_Gearty_no_cut)_rk,TN (Kas_Gearty_no_cut)_rk,FN (Kas_Gearty_no_cut)_rk,accuracy (Kas_Gearty_no_cut)_rk,precision (Kas_Gearty_no_cut)_rk,recall (Kas_Gearty_no_cut)_rk,specificity (Kas_Gearty_no_cut)_rk,f1_score (Kas_Gearty_no_cut)_rk,b_accuracy (Kas_Gearty_no_cut)_rk,AUC_value_inf (Kas_Gearty_no_cut)_rk,AUC_value_trn (Kas_Gearty_no_cut)_rk,mcc (Kas_Gearty_no_cut)_rk,log_loss (Kas_Gearty_no_cut)_rk,kappa (Kas_Gearty_no_cut)_rk,fall_out (Kas_Gearty_no_cut)_rk,miss_rate (Kas_Gearty_no_cut)_rk,NPV (Kas_Gearty_no_cut)_rk,lr_plus (Kas_Gearty_no_cut)_rk,lr_minus (Kas_Gearty_no_cut)_rk
IGRP_WF_1_Kf_add_dist,16.0,15.0,82.0,81.0,77.0,83.0,16.0,82.0,62.0,77.0,59.0,1.0,78.0,41.0,77.0,15.0,81.0,52.0,83.0,45.0
IGRP_WF_2_Kf_add_dist,94.0,92.0,5.0,3.0,67.0,6.0,94.0,5.0,94.0,68.0,40.0,1.0,47.0,79.0,68.0,92.0,3.0,94.0,6.0,3.0
IGRP_WF_3_Kf_add_dist,28.0,18.0,79.0,69.0,74.0,78.0,28.0,79.0,60.0,74.0,61.0,1.0,77.0,12.0,74.0,18.0,69.0,55.0,78.0,42.0
IGRP_WF_4_Kf_add_dist,50.0,56.0,41.0,47.0,32.0,40.0,50.0,41.0,37.0,32.0,2.0,1.0,35.0,69.0,32.0,56.0,47.0,40.0,40.0,57.0
IGRP_WF_5_Kf_add_dist,23.0,16.0,81.0,74.0,73.0,79.0,23.0,81.0,59.0,73.0,94.0,1.0,76.0,38.0,73.0,16.0,74.0,45.0,79.0,52.0
IGRP_WF_6_Kf_add_dist,68.0,77.0,20.0,29.0,15.0,21.0,68.0,20.0,28.0,16.0,35.0,1.0,15.0,95.0,16.0,77.0,29.0,48.0,21.0,49.0
IGRP_WF_7_Kf_add_dist,3.0,1.0,96.0,94.0,76.0,95.0,3.0,96.0,49.0,76.0,93.0,1.0,79.0,7.0,76.0,1.0,94.0,8.0,95.0,89.0
IGRP_WF_8_Kf_add_dist,45.0,74.0,23.0,52.0,1.0,22.0,45.0,23.0,4.0,1.0,60.0,1.0,3.0,78.0,1.0,74.0,52.0,11.0,22.0,86.0
IGRP_WF_9_Kf_add_dist,10.0,35.0,62.0,87.0,37.0,61.0,10.0,62.0,8.0,37.0,81.0,1.0,44.0,17.0,37.0,35.0,87.0,6.0,61.0,91.0
IGRP_WF_10_Kf_add_dist,48.0,46.0,51.0,49.0,55.0,50.0,48.0,51.0,53.0,56.0,13.0,1.0,56.0,61.0,55.0,46.0,49.0,59.0,50.0,38.0
IGRP_WF_11_Kf_add_dist,25.0,37.0,60.0,72.0,43.0,59.0,25.0,60.0,23.0,43.0,85.0,1.0,48.0,2.0,43.0,37.0,72.0,13.0,59.0,84.0
IGRP_WF_12_Kf_add_dist,70.0,49.0,48.0,26.0,63.0,52.0,70.0,48.0,74.0,63.0,70.0,1.0,64.0,13.0,63.0,49.0,26.0,76.0,52.0,21.0
IGRP_WF_13_Kf_add_dist,82.0,40.0,57.0,15.0,93.0,65.0,82.0,57.0,92.0,94.0,80.0,1.0,92.0,22.0,94.0,40.0,15.0,92.0,65.0,5.0
IGRP_WF_14_Kf_add_dist,72.0,79.0,18.0,25.0,7.0,17.0,72.0,18.0,25.0,8.0,55.0,1.0,8.0,88.0,8.0,79.0,25.0,46.0,17.0,51.0
IGRP_WF_15_Kf_add_dist,76.0,19.0,78.0,21.0,95.0,87.0,76.0,78.0,91.0,95.0,96.0,1.0,96.0,3.0,95.0,19.0,21.0,87.0,87.0,10.0
IGRP_WF_16_Kf_add_dist,58.0,72.0,25.0,39.0,10.0,24.0,58.0,25.0,15.0,10.0,3.0,1.0,12.0,94.0,10.0,72.0,39.0,28.0,24.0,69.0
IGRP_WF_17_Kf_add_dist,12.0,5.0,92.0,85.0,80.0,92.0,12.0,92.0,64.0,80.0,31.0,1.0,83.0,16.0,80.0,5.0,85.0,50.0,92.0,47.0
IGRP_WF_18_Kf_add_dist,81.0,85.0,12.0,16.0,33.0,11.0,81.0,12.0,66.0,33.0,4.0,1.0,25.0,96.0,33.0,85.0,16.0,77.0,11.0,20.0
IGRP_WF_19_Kf_add_dist,18.0,7.0,90.0,79.0,84.0,89.0,18.0,90.0,69.0,83.0,86.0,1.0,85.0,14.0,84.0,7.0,79.0,62.0,89.0,35.0
IGRP_WF_20_Kf_add_dist,57.0,51.0,46.0,40.0,52.0,45.0,57.0,46.0,57.0,52.0,67.0,1.0,50.0,46.0,52.0,51.0,40.0,68.0,45.0,29.0
