model name,t50_bld_spt,t60_bld_spt,t70_bld_spt,t80_bld_spt,t90_bld_spt,nseq_bld_spt
IGRP_WF_10_Kf_dist,0.211453744,0.179148311,0.139500734,0.105726872,0.070484581,681
IGRP_WF_11_Kf_dist,0.25256975,0.221732746,0.177679883,0.135095448,0.069016153,681
IGRP_WF_12_Kf_dist,0.179148311,0.142437592,0.104258443,0.076358297,0.054331865,681
IGRP_WF_13_Kf_dist,0.276064611,0.198237885,0.139500734,0.0969163,0.076358297,681
IGRP_WF_14_Kf_dist,0.15712188,0.123348018,0.102790015,0.064610866,0.041116006,681
IGRP_WF_15_Kf_dist,0.242290749,0.195301028,0.162995595,0.124816446,0.069016153,681
IGRP_WF_16_Kf_dist,0.239353891,0.18061674,0.136563877,0.092511013,0.066079295,681
IGRP_WF_17_Kf_dist,0.276064611,0.224669604,0.182085169,0.136563877,0.098384728,681
IGRP_WF_18_Kf_dist,0.177679883,0.142437592,0.107195301,0.073421439,0.035242291,681
IGRP_WF_19_Kf_dist,0.236417034,0.174743025,0.135095448,0.10866373,0.058737151,681
IGRP_WF_1_Kf_dist,0.274596182,0.237885463,0.190895742,0.142437592,0.110132159,681
IGRP_WF_20_Kf_dist,0.209985316,0.167400881,0.136563877,0.085168869,0.055800294,681
IGRP_WF_21_Kf_dist,0.286343612,0.232011747,0.177679883,0.123348018,0.061674009,681
IGRP_WF_22_Kf_dist,0.148311307,0.129221733,0.066079295,0.026431718,0.010279001,681
IGRP_WF_23_Kf_dist,0.182085169,0.139500734,0.107195301,0.045521292,0.030837004,681
IGRP_WF_24_Kf_dist,0.174743025,0.130690162,0.091042584,0.055800294,0.044052863,681
IGRP_WF_25_Kf_dist,0.3010279,0.25256975,0.207048458,0.152716593,0.099853157,681
IGRP_WF_26_Kf_dist,0.199706314,0.170337739,0.130690162,0.105726872,0.066079295,681
IGRP_WF_27_Kf_dist,0.309838473,0.254038179,0.185022026,0.142437592,0.099853157,681
IGRP_WF_28_Kf_dist,0.18061674,0.165932452,0.13215859,0.098384728,0.085168869,681
IGRP_WF_29_Kf_dist,0.221732746,0.18061674,0.145374449,0.098384728,0.069016153,681
IGRP_WF_2_Kf_dist,0.18061674,0.145374449,0.118942731,0.055800294,0.02349486,681
IGRP_WF_30_Kf_dist,0.19236417,0.145374449,0.118942731,0.06020558,0.022026432,681
IGRP_WF_31_Kf_dist,0.28928047,0.224669604,0.179148311,0.118942731,0.076358297,681
IGRP_WF_32_Kf_dist,0.165932452,0.129221733,0.099853157,0.045521292,0.013215859,681
IGRP_WF_33_Mc_dist,0.239353891,0.19236417,0.15712188,0.136563877,0.092511013,681
IGRP_WF_34_Mc_dist,0.201174743,0.154185022,0.124816446,0.067547724,0.026431718,681
IGRP_WF_35_Mc_dist,0.305433186,0.233480176,0.189427313,0.149779736,0.110132159,681
IGRP_WF_36_Mc_dist,0.205580029,0.171806167,0.133627019,0.110132159,0.088105727,681
IGRP_WF_37_Mc_dist,0.292217327,0.245227606,0.18061674,0.149779736,0.093979442,681
IGRP_WF_38_Mc_dist,0.185022026,0.151248164,0.107195301,0.091042584,0.038179148,681
IGRP_WF_39_Mc_dist,0.286343612,0.237885463,0.174743025,0.130690162,0.070484581,681
IGRP_WF_3_Kf_dist,0.27753304,0.233480176,0.18061674,0.143906021,0.113069016,681
IGRP_WF_40_Mc_dist,0.198237885,0.165932452,0.105726872,0.091042584,0.04845815,681
IGRP_WF_41_Mc_dist,0.256975037,0.226138032,0.170337739,0.116005874,0.091042584,681
IGRP_WF_42_Mc_dist,0.215859031,0.170337739,0.146842878,0.111600587,0.07195301,681
IGRP_WF_43_Mc_dist,0.268722467,0.224669604,0.176211454,0.135095448,0.107195301,681
IGRP_WF_44_Mc_dist,0.214390602,0.177679883,0.148311307,0.116005874,0.077826725,681
IGRP_WF_45_Mc_dist,0.27753304,0.237885463,0.177679883,0.136563877,0.093979442,681
IGRP_WF_46_Mc_dist,0.193832599,0.151248164,0.117474302,0.085168869,0.039647577,681
IGRP_WF_47_Mc_dist,0.290748899,0.230543319,0.190895742,0.135095448,0.0969163,681
IGRP_WF_48_Mc_dist,0.171806167,0.142437592,0.107195301,0.085168869,0.044052863,681
IGRP_WF_49_Mc_dist,0.286343612,0.234948605,0.16886931,0.130690162,0.092511013,681
IGRP_WF_4_Kf_dist,0.208516887,0.170337739,0.148311307,0.107195301,0.076358297,681
IGRP_WF_50_Mc_dist,0.179148311,0.146842878,0.114537445,0.088105727,0.052863436,681
IGRP_WF_51_Mc_dist,0.292217327,0.234948605,0.173274596,0.15712188,0.107195301,681
IGRP_WF_52_Mc_dist,0.201174743,0.170337739,0.138032305,0.10866373,0.086637298,681
IGRP_WF_53_Mc_dist,0.274596182,0.212922173,0.164464023,0.111600587,0.082232012,681
IGRP_WF_54_Mc_dist,0.182085169,0.142437592,0.114537445,0.079295154,0.038179148,681
IGRP_WF_55_Mc_dist,0.276064611,0.221732746,0.183553598,0.135095448,0.099853157,681
IGRP_WF_56_Mc_dist,0.204111601,0.142437592,0.10866373,0.077826725,0.044052863,681
IGRP_WF_57_Mc_dist,0.236417034,0.202643172,0.165932452,0.110132159,0.092511013,681
IGRP_WF_58_Mc_dist,0.208516887,0.176211454,0.136563877,0.107195301,0.070484581,681
IGRP_WF_59_Mc_dist,0.270190896,0.234948605,0.167400881,0.135095448,0.105726872,681
IGRP_WF_5_Kf_dist,0.292217327,0.224669604,0.187958884,0.133627019,0.110132159,681
IGRP_WF_60_Mc_dist,0.205580029,0.167400881,0.124816446,0.088105727,0.058737151,681
IGRP_WF_61_Mc_dist,0.279001468,0.224669604,0.162995595,0.113069016,0.091042584,681
IGRP_WF_62_Mc_dist,0.195301028,0.158590308,0.123348018,0.076358297,0.035242291,681
IGRP_WF_63_Mc_dist,0.299559471,0.242290749,0.173274596,0.136563877,0.093979442,681
IGRP_WF_64_Mc_dist,0.199706314,0.142437592,0.105726872,0.074889868,0.042584435,681
IGRP_WF_65_Mc_dist,0.243759178,0.211453744,0.15712188,0.102790015,0.058737151,681
IGRP_WF_66_Mc_dist,0.189427313,0.165932452,0.126284875,0.086637298,0.044052863,681
IGRP_WF_67_Mc_dist,0.267254038,0.21732746,0.189427313,0.146842878,0.091042584,681
IGRP_WF_68_Mc_dist,0.220264317,0.177679883,0.140969163,0.114537445,0.077826725,681
IGRP_WF_69_Mc_dist,0.243759178,0.186490455,0.124816446,0.102790015,0.045521292,681
IGRP_WF_6_Kf_dist,0.201174743,0.155653451,0.110132159,0.098384728,0.058737151,681
IGRP_WF_70_Mc_dist,0.136563877,0.12041116,0.086637298,0.04845815,0.008810573,681
IGRP_WF_71_Mc_dist,0.22907489,0.171806167,0.130690162,0.095447871,0.051395007,681
IGRP_WF_72_Mc_dist,0.167400881,0.139500734,0.117474302,0.080763583,0.032305433,681
IGRP_WF_73_Mc_dist,0.255506608,0.226138032,0.182085169,0.143906021,0.101321586,681
IGRP_WF_74_Mc_dist,0.176211454,0.15712188,0.118942731,0.0969163,0.041116006,681
IGRP_WF_75_Mc_dist,0.292217327,0.256975037,0.214390602,0.189427313,0.121879589,681
IGRP_WF_76_Mc_dist,0.198237885,0.155653451,0.114537445,0.088105727,0.045521292,681
IGRP_WF_77_Mc_dist,0.227606461,0.182085169,0.130690162,0.098384728,0.046989721,681
IGRP_WF_78_Mc_dist,0.16886931,0.138032305,0.111600587,0.063142438,0.035242291,681
IGRP_WF_79_Mc_dist,0.25256975,0.183553598,0.149779736,0.104258443,0.06020558,681
IGRP_WF_7_Kf_dist,0.339207048,0.265785609,0.207048458,0.146842878,0.0969163,681
IGRP_WF_80_Mc_dist,0.162995595,0.135095448,0.12041116,0.088105727,0.041116006,681
IGRP_WF_81_Mc_dist,0.256975037,0.207048458,0.171806167,0.10866373,0.064610866,681
IGRP_WF_82_Mc_dist,0.171806167,0.133627019,0.101321586,0.033773862,0.019089574,681
IGRP_WF_83_Mc_dist,0.265785609,0.226138032,0.176211454,0.139500734,0.076358297,681
IGRP_WF_84_Mc_dist,0.198237885,0.15712188,0.110132159,0.064610866,0.027900147,681
IGRP_WF_85_Mc_dist,0.209985316,0.161527166,0.118942731,0.079295154,0.017621145,681
IGRP_WF_86_Mc_dist,0.129221733,0.092511013,0.054331865,0.042584435,0.001468429,681
IGRP_WF_87_Mc_dist,0.24082232,0.189427313,0.143906021,0.102790015,0.052863436,681
IGRP_WF_88_Mc_dist,0.151248164,0.123348018,0.088105727,0.069016153,0.035242291,681
IGRP_WF_89_Mc_dist,0.273127753,0.22907489,0.19236417,0.139500734,0.079295154,681
IGRP_WF_8_Kf_dist,0.174743025,0.139500734,0.110132159,0.088105727,0.04845815,681
IGRP_WF_90_Mc_dist,0.165932452,0.139500734,0.110132159,0.074889868,0.042584435,681
IGRP_WF_91_Mc_dist,0.255506608,0.21732746,0.183553598,0.121879589,0.080763583,681
IGRP_WF_92_Mc_dist,0.179148311,0.160058737,0.110132159,0.074889868,0.022026432,681
