model name,t50_panc_spt,t60_panc_spt,t70_panc_spt,t80_panc_spt,t90_panc_spt,nseq_panc_spt
IGRP_WF_10_Kf_dist,0.303306727,0.289053592,0.254275941,0.218358039,0.173888255,1754
IGRP_WF_11_Kf_dist,0.322120867,0.299885975,0.262827822,0.24686431,0.175598632,1754
IGRP_WF_12_Kf_dist,0.276510832,0.237172178,0.214367161,0.191562144,0.144241733,1754
IGRP_WF_13_Kf_dist,0.350057013,0.271949829,0.236602052,0.214367161,0.19327252,1754
IGRP_WF_14_Kf_dist,0.262827822,0.245724059,0.214367161,0.167616876,0.137400228,1754
IGRP_WF_15_Kf_dist,0.316419612,0.28677309,0.272519954,0.237172178,0.182440137,1754
IGRP_WF_16_Kf_dist,0.363740023,0.271949829,0.249144812,0.216647662,0.180729761,1754
IGRP_WF_17_Kf_dist,0.342075257,0.307867731,0.287913341,0.263397948,0.221778791,1754
IGRP_WF_18_Kf_dist,0.2668187,0.257696693,0.21949829,0.165336374,0.053021665,1754
IGRP_WF_19_Kf_dist,0.3004561,0.27309008,0.247434436,0.222919042,0.156784493,1754
IGRP_WF_1_Kf_dist,0.331242873,0.303876853,0.282212087,0.247434436,0.223489168,1754
IGRP_WF_20_Kf_dist,0.289053592,0.268529076,0.236031927,0.198403649,0.146522235,1754
IGRP_WF_21_Kf_dist,0.456670468,0.324971494,0.267958951,0.236031927,0.145381984,1754
IGRP_WF_22_Kf_dist,0.241163056,0.234321551,0.168187001,0.114025086,0.057582668,1754
IGRP_WF_23_Kf_dist,0.314709236,0.276510832,0.212086659,0.140820981,0.08722919,1754
IGRP_WF_24_Kf_dist,0.288483466,0.253705815,0.201824401,0.156214367,0.143101482,1754
IGRP_WF_25_Kf_dist,0.437856328,0.328962372,0.296465222,0.22063854,0.200684151,1754
IGRP_WF_26_Kf_dist,0.283922463,0.263397948,0.245724059,0.212086659,0.100912201,1754
IGRP_WF_27_Kf_dist,0.392246294,0.348916762,0.27936146,0.243443558,0.214937286,1754
IGRP_WF_28_Kf_dist,0.26054732,0.248004561,0.237172178,0.208665906,0.189281642,1754
IGRP_WF_29_Kf_dist,0.31299886,0.278791334,0.24686431,0.209806157,0.180729761,1754
IGRP_WF_2_Kf_dist,0.273660205,0.250285063,0.234321551,0.15336374,0.110604333,1754
IGRP_WF_30_Kf_dist,0.289053592,0.237742303,0.225199544,0.147662486,0.06613455,1754
IGRP_WF_31_Kf_dist,0.427023945,0.344355758,0.274800456,0.241163056,0.197833523,1754
IGRP_WF_32_Kf_dist,0.265678449,0.248004561,0.221778791,0.116875713,0.058152794,1754
IGRP_WF_33_Mc_dist,0.328962372,0.281071836,0.26054732,0.24686431,0.215507412,1754
