model name,t50_pln_spt,t60_pln_spt,t70_pln_spt,t80_pln_spt,t90_pln_spt,nseq_pln_spt
IGRP_WF_10_Kf_dist,0.148509764,0.130524152,0.118705036,0.060637205,0.049331963,1946
IGRP_WF_11_Kf_dist,0.163412127,0.138746146,0.115107914,0.097122302,0.057040082,1946
IGRP_WF_12_Kf_dist,0.134121274,0.070914697,0.056526208,0.04008222,0.034943474,1946
IGRP_WF_13_Kf_dist,0.172147996,0.102261048,0.079650565,0.058581706,0.039054471,1946
IGRP_WF_14_Kf_dist,0.102261048,0.069373073,0.055498458,0.044193217,0.031860226,1946
IGRP_WF_15_Kf_dist,0.153134635,0.124357657,0.104316547,0.077081192,0.04676259,1946
IGRP_WF_16_Kf_dist,0.122816033,0.101747174,0.080678314,0.051901336,0.035971223,1946
IGRP_WF_17_Kf_dist,0.191675231,0.157245632,0.141315519,0.116135663,0.053956835,1946
IGRP_WF_18_Kf_dist,0.124357657,0.116649538,0.097636177,0.043165468,0.031860226,1946
IGRP_WF_19_Kf_dist,0.165467626,0.096094553,0.072970195,0.057553957,0.042651593,1946
IGRP_WF_1_Kf_dist,0.220966084,0.147482014,0.130524152,0.085303186,0.062178828,1946
IGRP_WF_20_Kf_dist,0.148509764,0.085303186,0.069886948,0.04676259,0.039568345,1946
IGRP_WF_21_Kf_dist,0.269784173,0.150565262,0.131038027,0.105858171,0.039568345,1946
IGRP_WF_22_Kf_dist,0.139260021,0.102261048,0.048818088,0.037512847,0.027235355,1946
IGRP_WF_23_Kf_dist,0.125385406,0.104830421,0.049845838,0.035457348,0.027235355,1946
IGRP_WF_24_Kf_dist,0.089928058,0.066289825,0.058067831,0.037512847,0.032374101,1946
IGRP_WF_25_Kf_dist,0.206577595,0.178314491,0.152106886,0.123329908,0.061664954,1946
IGRP_WF_26_Kf_dist,0.139260021,0.116135663,0.103288798,0.093011305,0.037512847,1946
IGRP_WF_27_Kf_dist,0.195272354,0.168036999,0.101233299,0.078622816,0.05344296,1946
IGRP_WF_28_Kf_dist,0.089414183,0.076567318,0.062692703,0.053956835,0.041109969,1946
IGRP_WF_29_Kf_dist,0.157245632,0.1336074,0.069373073,0.055498458,0.039054471,1946
IGRP_WF_2_Kf_dist,0.127440904,0.114080164,0.056526208,0.041109969,0.032887975,1946
IGRP_WF_30_Kf_dist,0.123329908,0.104316547,0.053956835,0.038026721,0.029290853,1946
IGRP_WF_31_Kf_dist,0.222507708,0.192189106,0.136176773,0.0668037,0.046248715,1946
IGRP_WF_32_Kf_dist,0.106372045,0.068859198,0.048304214,0.03340185,0.02672148,1946
IGRP_WF_33_Mc_dist,0.17368962,0.15364851,0.087358684,0.071942446,0.056012333,1946
IGRP_WF_34_Mc_dist,0.14696814,0.082733813,0.070914697,0.048818088,0.029290853,1946
IGRP_WF_35_Mc_dist,0.222507708,0.148509764,0.125385406,0.088900308,0.062692703,1946
IGRP_WF_36_Mc_dist,0.146454265,0.090955807,0.076567318,0.064234327,0.049331963,1946
IGRP_WF_37_Mc_dist,0.208633094,0.172147996,0.120760534,0.08016444,0.056526208,1946
IGRP_WF_38_Mc_dist,0.119732785,0.101233299,0.05344296,0.043165468,0.030318602,1946
IGRP_WF_39_Mc_dist,0.216855087,0.149023638,0.114594039,0.072970195,0.050359712,1946
IGRP_WF_3_Kf_dist,0.195786228,0.158787256,0.131551901,0.092497431,0.062178828,1946
IGRP_WF_40_Mc_dist,0.119732785,0.082219938,0.065262076,0.050359712,0.032374101,1946
IGRP_WF_41_Mc_dist,0.155190134,0.12024666,0.091469681,0.0668037,0.050873587,1946
IGRP_WF_42_Mc_dist,0.107399794,0.088900308,0.077595067,0.057553957,0.04008222,1946
IGRP_WF_43_Mc_dist,0.196813977,0.135149024,0.117677287,0.080678314,0.061151079,1946
IGRP_WF_44_Mc_dist,0.179856115,0.128982528,0.116135663,0.058581706,0.042651593,1946
IGRP_WF_45_Mc_dist,0.188591984,0.146454265,0.086330935,0.076053443,0.056012333,1946
IGRP_WF_46_Mc_dist,0.121788284,0.077081192,0.059095581,0.044193217,0.031860226,1946
IGRP_WF_47_Mc_dist,0.214285714,0.164953751,0.12024666,0.079136691,0.057553957,1946
IGRP_WF_48_Mc_dist,0.086330935,0.072970195,0.059609455,0.046248715,0.031860226,1946
IGRP_WF_49_Mc_dist,0.184994861,0.158273381,0.09352518,0.073997945,0.05344296,1946
IGRP_WF_4_Kf_dist,0.103802672,0.087358684,0.077081192,0.064234327,0.047790339,1946
IGRP_WF_50_Mc_dist,0.092497431,0.075025694,0.063206578,0.050359712,0.035457348,1946
IGRP_WF_51_Mc_dist,0.217882837,0.16032888,0.126413155,0.104316547,0.063720452,1946
IGRP_WF_52_Mc_dist,0.135149024,0.090955807,0.074511819,0.063206578,0.047790339,1946
IGRP_WF_53_Mc_dist,0.189619733,0.122302158,0.089414183,0.066289825,0.044707091,1946
IGRP_WF_54_Mc_dist,0.118191161,0.099691675,0.056526208,0.042651593,0.027749229,1946
IGRP_WF_55_Mc_dist,0.209146968,0.143884892,0.117677287,0.094039054,0.056012333,1946
IGRP_WF_56_Mc_dist,0.096608428,0.080678314,0.061151079,0.043165468,0.030832477,1946
IGRP_WF_57_Mc_dist,0.14028777,0.120760534,0.087358684,0.064748201,0.049331963,1946
IGRP_WF_58_Mc_dist,0.142857143,0.128468654,0.072456321,0.057553957,0.039568345,1946
IGRP_WF_59_Mc_dist,0.191161357,0.136176773,0.120760534,0.083247688,0.061151079,1946
IGRP_WF_5_Kf_dist,0.214285714,0.176772867,0.110996917,0.078622816,0.056012333,1946
IGRP_WF_60_Mc_dist,0.130524152,0.085817061,0.071942446,0.061151079,0.042137718,1946
IGRP_WF_61_Mc_dist,0.190647482,0.149537513,0.088900308,0.067831449,0.050873587,1946
IGRP_WF_62_Mc_dist,0.087872559,0.071942446,0.062178828,0.04008222,0.030318602,1946
IGRP_WF_63_Mc_dist,0.191161357,0.156217883,0.124871531,0.097636177,0.055498458,1946
IGRP_WF_64_Mc_dist,0.097122302,0.081192189,0.059609455,0.04008222,0.030318602,1946
IGRP_WF_65_Mc_dist,0.17368962,0.153134635,0.126413155,0.099177801,0.045734841,1946
IGRP_WF_66_Mc_dist,0.132579651,0.11356629,0.101233299,0.094039054,0.036485098,1946
IGRP_WF_67_Mc_dist,0.187564234,0.162384378,0.136690647,0.077081192,0.051387461,1946
IGRP_WF_68_Mc_dist,0.143371017,0.130524152,0.110483042,0.06012333,0.040596095,1946
IGRP_WF_69_Mc_dist,0.183453237,0.129496403,0.065262076,0.049845838,0.031860226,1946
IGRP_WF_6_Kf_dist,0.095580678,0.073997945,0.063206578,0.05344296,0.035971223,1946
IGRP_WF_70_Mc_dist,0.097636177,0.054470709,0.043679342,0.03340185,0.025179856,1946
IGRP_WF_71_Mc_dist,0.173175745,0.085303186,0.068859198,0.04676259,0.036485098,1946
IGRP_WF_72_Mc_dist,0.125385406,0.114594039,0.051387461,0.042651593,0.028263104,1946
IGRP_WF_73_Mc_dist,0.191675231,0.168550874,0.137204522,0.112024666,0.051901336,1946
IGRP_WF_74_Mc_dist,0.127440904,0.113052415,0.103802672,0.050873587,0.037512847,1946
IGRP_WF_75_Mc_dist,0.225590956,0.198355601,0.155190134,0.128982528,0.057553957,1946
IGRP_WF_76_Mc_dist,0.132579651,0.076053443,0.063206578,0.047276465,0.033915725,1946
IGRP_WF_77_Mc_dist,0.151593011,0.124871531,0.067831449,0.048304214,0.034429599,1946
IGRP_WF_78_Mc_dist,0.150565262,0.110483042,0.051387461,0.040596095,0.030832477,1946
IGRP_WF_79_Mc_dist,0.192189106,0.094552929,0.071942446,0.052415211,0.035971223,1946
IGRP_WF_7_Kf_dist,0.235868448,0.180883864,0.108427544,0.08684481,0.056526208,1946
IGRP_WF_80_Mc_dist,0.107399794,0.070914697,0.056012333,0.044707091,0.031860226,1946
IGRP_WF_81_Mc_dist,0.171634121,0.14696814,0.125385406,0.098663926,0.04008222,1946
IGRP_WF_82_Mc_dist,0.123329908,0.104316547,0.091469681,0.036998972,0.027235355,1946
IGRP_WF_83_Mc_dist,0.18705036,0.161870504,0.14028777,0.070914697,0.053956835,1946
IGRP_WF_84_Mc_dist,0.135149024,0.117677287,0.096094553,0.04676259,0.033915725,1946
IGRP_WF_85_Mc_dist,0.140801644,0.073997945,0.059095581,0.042651593,0.029290853,1946
IGRP_WF_86_Mc_dist,0.059609455,0.050359712,0.036998972,0.031860226,0.023124358,1946
IGRP_WF_87_Mc_dist,0.152620761,0.103802672,0.076053443,0.050359712,0.035457348,1946
IGRP_WF_88_Mc_dist,0.119218911,0.060637205,0.048304214,0.036998972,0.029290853,1946
IGRP_WF_89_Mc_dist,0.188591984,0.160842754,0.134121274,0.068345324,0.047790339,1946
IGRP_WF_8_Kf_dist,0.109969168,0.067317575,0.058067831,0.04676259,0.031346351,1946
IGRP_WF_90_Mc_dist,0.079650565,0.063720452,0.05344296,0.039054471,0.031346351,1946
IGRP_WF_91_Mc_dist,0.181911614,0.155704008,0.090955807,0.065262076,0.04676259,1946
IGRP_WF_92_Mc_dist,0.117677287,0.105344296,0.053956835,0.040596095,0.031346351,1946
IGRP_WF_93_Mc_dist,0.152620761,0.086330935,0.064748201,0.043679342,0.032887975,1946
IGRP_WF_94_Mc_dist,0.108427544,0.046248715,0.038540596,0.029804728,0.024665982,1946
IGRP_WF_95_Mc_dist,0.176772867,0.085817061,0.071428571,0.049331963,0.031860226,1946
IGRP_WF_96_Mc_dist,0.122302158,0.062178828,0.047276465,0.036485098,0.024152107,1946
IGRP_WF_9_Kf_dist,0.254881809,0.140801644,0.110483042,0.085303186,0.065262076,1946
