Analysis,Data Type,Metric,Threshold,Description,Interpretation,Variance,Standard Deviation,Friedman Statistic,P-Value,Wilcoxon Statistic,Significant after correction,,,,,,,,,,,,,,,,,,,,,,
Variance and Consistency Analysis,tp8,F1,,Variance and standard deviation across thresholds.,Lower variance suggests model stability across thresholds.,0.010437375,0.080801702,,,,,,,,,Data Type,Metric,Variance,Std Dev,Data Type,Metric,Friedman Stat,P-value,,,,,,,,,,
Variance and Consistency Analysis,tp14,F1,,Variance and standard deviation across thresholds.,Lower variance suggests model stability across thresholds.,0.006422508,0.066577557,,,,,,,,,tp8,F1,0.010437375,0.080801702,tp8,F1,288.8833333,2.71E-61,,,,,,,,,,
Variance and Consistency Analysis,tp8,F0.75,,Variance and standard deviation across thresholds.,Lower variance suggests model stability across thresholds.,0.008275835,0.065590134,,,,,,,,,tp14,F1,0.006422508,0.066577557,tp8,F0.75,218.3916667,4.16E-46,,,,,,,,,,
Variance and Consistency Analysis,tp14,F0.75,,Variance and standard deviation across thresholds.,Lower variance suggests model stability across thresholds.,0.004610524,0.050124537,,,,,,,,,tp8,F0.75,0.008275835,0.065590134,tp8,F0.5,100.7916667,6.67E-21,,,,,,,,,,
Variance and Consistency Analysis,tp8,F0.5,,Variance and standard deviation across thresholds.,Lower variance suggests model stability across thresholds.,0.005164333,0.049301595,,,,,,,,,tp14,F0.75,0.004610524,0.050124537,tp14,F1,291.2833333,8.22E-62,,,,,,,,,,
Variance and Consistency Analysis,tp14,F0.5,,Variance and standard deviation across thresholds.,Lower variance suggests model stability across thresholds.,0.002632701,0.032370977,,,,,,,,,tp8,F0.5,0.005164333,0.049301595,tp14,F0.75,233.7333333,2.07E-49,,,,,,,,,,
Friedman Test for Tissue Consistency,tp8,F1,,Friedman test on F score variability across thresholds.,Significant variability may indicate the need for threshold-specific model selection.,,,288.8833333,2.71E-61,,,,,,,tp14,F0.5,0.002632701,0.032370977,tp14,F0.5,44.41666667,5.26E-09,,,,,,,,,,
Friedman Test for Tissue Consistency,tp8,F0.75,,Friedman test on F score variability across thresholds.,Significant variability may indicate the need for threshold-specific model selection.,,,218.3916667,4.16E-46,,,,,,,,,,,,,,,,,,,,,,,,
Friedman Test for Tissue Consistency,tp8,F0.5,,Friedman test on F score variability across thresholds.,Significant variability may indicate the need for threshold-specific model selection.,,,100.7916667,6.67E-21,,,,,,,,,,,,,,,,,,,,,,,,
Friedman Test for Tissue Consistency,tp14,F1,,Friedman test on F score variability across thresholds.,Significant variability may indicate the need for threshold-specific model selection.,,,291.2833333,8.22E-62,,,,,,,Data Type,Metric,Threshold,P-Value,Wilcoxon Statistic,Significant after correction,,,,,,,,,,,,
Friedman Test for Tissue Consistency,tp14,F0.75,,Friedman test on F score variability across thresholds.,Significant variability may indicate the need for threshold-specific model selection.,,,233.7333333,2.07E-49,,,,,,,tp8,F1,50 vs 60,0.386450864,2091,FALSE,tp8,F0.75,50 vs 60,8.82E-05,1255,TRUE,tp14,F0.75,50 vs 60,0.255751271,2017,FALSE
Friedman Test for Tissue Consistency,tp14,F0.5,,Friedman test on F score variability across thresholds.,Significant variability may indicate the need for threshold-specific model selection.,,,44.41666667,5.26E-09,,,,,,,tp8,F1,50 vs 70,1.19E-06,999,TRUE,tp8,F0.75,50 vs 70,0.436351979,2115,FALSE,tp14,F0.75,50 vs 70,0.000153174,1292,TRUE
Friedman Test for Tissue Consistency,tp8,F1,,Friedman test on F score variability across thresholds.,Significant variability may indicate the need for threshold-specific model selection.,,,288.8833333,2.71E-61,,,,,,,tp8,F1,50 vs 80,1.61E-16,71,TRUE,tp8,F0.75,50 vs 80,4.20E-09,720,TRUE,tp14,F0.75,50 vs 80,6.93E-12,451,TRUE
