model name,F1_50,F0.75_50,F0.5_50,F1_60,F0.75_60,F0.5_60,F1_70,F0.75_70,F0.5_70,F1_80,F0.75_80,F0.5_80,F1_90,F0.75_90,F0.5_90,mean_F1,mean_F0.75,mean_F0.5,precision_50,recall_50,accuracy_50,precision_60,recall_60,accuracy_60,precision_70,recall_70,accuracy_70,precision_80,recall_80,accuracy_80,precision_90,recall_90,accuracy_90,mean_precision,mean_recall,mean_accuracy,F1_variance,F1_std_dev,F0.75_variance,F0.75_std_dev,F0.5_variance,F0.5_std_dev,precision_variance,precision_std_dev,recall_variance,recall_std_dev,accuracy_variance,accuracy_std_dev,t50_panc_spt,t50_bld_spt,t50_pln_spt,t50_panc_igg,t50_bld_igg,t50_pln_igg,t60_panc_spt,t60_bld_spt,t60_pln_spt,t60_panc_igg,t60_bld_igg,t60_pln_igg,t70_panc_spt,t70_bld_spt,t70_pln_spt,t70_panc_igg,t70_bld_igg,t70_pln_igg,t80_panc_spt,t80_bld_spt,t80_pln_spt,t80_panc_igg,t80_bld_igg,t80_pln_igg,t90_panc_spt,t90_bld_spt,t90_pln_spt,t90_panc_igg,t90_bld_igg,t90_pln_igg,nseq_panc_spt,nseq_bld_spt,nseq_pln_spt,nseq_panc_igg,nseq_bld_igg,nseq_pln_igg,50_ct_panc_spt,50_ct_bld_spt,50_ct_pln_spt,50_ct_panc_igg,50_ct_bld_igg,50_ct_pln_igg,60_ct_panc_spt,60_ct_bld_spt,60_ct_pln_spt,60_ct_panc_igg,60_ct_bld_igg,60_ct_pln_igg,70_ct_panc_spt,70_ct_bld_spt,70_ct_pln_spt,70_ct_panc_igg,70_ct_bld_igg,70_ct_pln_igg,80_ct_panc_spt,80_ct_bld_spt,80_ct_pln_spt,80_ct_panc_igg,80_ct_bld_igg,80_ct_pln_igg,90_ct_panc_spt,90_ct_bld_spt,90_ct_pln_spt,90_ct_panc_igg,90_ct_bld_igg,90_ct_pln_igg
IGRP_WF_1_Kf_tp14,0.7232685529999999,0.7315995759999999,0.741358889,0.728197902,0.746105844,0.76768177,0.725509615,0.7561213920000001,0.794429684,0.646839472,0.6979199779999999,0.7671563859999999,0.60389956,0.667855202,0.759818842,0.6855430203999999,0.7199203984,0.7660891141999999,0.753930387,0.695003245,0.735342662,0.796472301,0.670704449,0.7508432009999999,0.848142788,0.6338596870000001,0.7613204159999999,0.875754217,0.512798327,0.7213491209999999,0.917794118,0.449996395,0.706243272,0.8384187622000001,0.5924724206,0.7350197343999999,0.003250900675755483,0.05701667015667859,0.0013318489655643633,0.03649450596410867,0.0003644409675214571,0.019090337019588132,0.0041716827805993945,0.06458856540131074,0.011248276275385008,0.10605789115094175,0.0004892956722729002,0.02212002875841033,0.35860889395667045,0.28193832599118945,0.2132579650565262,0.4166666666666667,0.2515060240963856,0.2926829268292683,0.3215507411630559,0.21292217327459614,0.12178828365878724,0.3687315634218289,0.19728915662650606,0.24547600314712825,0.2622576966932725,0.1644640234948605,0.08787255909558069,0.1570796460176991,0.10843373493975904,0.07946498819826907,0.2354618015963512,0.1130690161527166,0.06731757451181912,0.09587020648967552,0.07078313253012049,0.03619197482297404,0.2126567844925884,0.08516886930983847,0.04573484069886948,0.07595870206489676,0.0572289156626506,0.014162077104642012,1754,681,1946,1356,664,1271,629.0,192.00000000000003,415.0,565.0,167.00000000000006,372.0,564.0,144.99999999999997,236.99999999999997,500.0,131.00000000000003,312.0,459.99999999999994,112.0,171.0,213.0,72.0,100.99999999999999,413.0,77.0,131.0,130.0,47.00000000000001,46.0,373.00000000000006,58.0,89.00000000000001,103.0,38.0,17.999999999999996
IGRP_WF_2_Kf_tp14,0.6899948159999999,0.730556013,0.783171521,0.683126474,0.731012526,0.7946759409999999,0.675036792,0.731497761,0.8088121840000001,0.593408775,0.663381939,0.7667051429999999,0.556126645,0.631380916,0.746886822,0.6395387003999999,0.6975658309999999,0.7800503221999999,0.860653088,0.575816569,0.742518837,0.891753775,0.5536087679999999,0.744420524,0.931936508,0.529165765,0.746465734,0.95206243,0.43103324,0.706063868,0.968319313,0.390078593,0.690132759,0.9209450228000001,0.49594058700000004,0.7259203444000001,0.003697842279887411,0.06080988636634187,0.002226847708541483,0.04718948726720267,0.0005822017137074631,0.02412885645254377,0.0019551688749386772,0.04421729158302979,0.006557357380419804,0.08097751157216307,0.0006787276398565874,0.02605240180591009,0.18928164196123148,0.12187958883994128,0.07348406988694757,0.1504424778761062,0.09036144578313253,0.1982690794649882,0.16476624857468644,0.09251101321585904,0.05549845837615622,0.12020648967551625,0.07228915662650602,0.028324154209284032,0.15621436716077536,0.07782672540381791,0.045220966084275435,0.11061946902654868,0.04819277108433735,0.015735641227380016,0.14652223489167618,0.05873715124816446,0.038026721479958885,0.0715339233038348,0.02710843373493976,0.005507474429583006,0.09064994298745724,0.0381791483113069,0.030832476875642344,0.06858407079646017,0.018072289156626502,0.003147128245476003,1754,681,1946,1356,664,1271,332.0,83.00000000000001,142.99999999999997,204.00000000000003,60.0,252.0,289.0,63.00000000000001,108.0,163.00000000000003,48.0,36.00000000000001,274.0,52.99999999999999,88.0,150.0,32.0,20.0,257.0,40.0,73.99999999999999,97.0,18.0,7.000000000000001,159.0,26.0,60.0,93.0,11.999999999999996,4.0
IGRP_WF_3_Kf_tp14,0.723865654,0.7337150490000001,0.74530489,0.7338757220000001,0.752891082,0.775866367,0.684565456,0.718588625,0.761862769,0.670800897,0.7148240220000001,0.7727853109999999,0.640181928,0.696191287,0.7735358109999999,0.6906579314,0.723242013,0.7658710296,0.76031746,0.690749153,0.737746681,0.8066355620000001,0.673155959,0.757050592,0.823881506,0.585550508,0.7314675279999999,0.8599458729999999,0.549859399,0.7314316470000001,0.898280802,0.497296128,0.721815572,0.8298122406000001,0.5993222294,0.7359024040000001,0.0014874443138808027,0.03856739962560093,0.0004532525362764396,0.021289728421857324,0.00016137379550305208,0.012703298607174913,0.0027494590690673422,0.0524352845807796,0.006713964813496903,0.0819387869906365,0.0001721854606051806,0.013121945762926343,0.3483466362599772,0.2790014684287812,0.20246659815005136,0.4292035398230089,0.26506024096385544,0.3092053501180173,0.28335233751425315,0.19089574155653447,0.13566289825282632,0.38495575221238937,0.2003012048192771,0.2682926829268293,0.2708095781071836,0.17474302496328928,0.09969167523124356,0.14970501474926254,0.11746987951807228,0.1896144767899292,0.2491448118586089,0.14243759177679882,0.08221993833504625,0.10914454277286137,0.08433734939759037,0.04720692368214005,0.1966932725199544,0.09838472834067548,0.06166495375128469,0.09070796460176993,0.05572289156626506,0.01966955153422502,1754,681,1946,1356,664,1271,611.0,190.0,393.99999999999994,582.0000000000001,176.0,393.0,497.0,129.99999999999997,264.0,522.0,133.0,341.0,475.0,119.0,193.99999999999997,203.0,78.0,241.00000000000003,437.0,97.0,160.0,148.00000000000003,56.00000000000001,60.00000000000001,345.0,67.0,120.0,123.00000000000003,37.0,25.0
IGRP_WF_4_Kf_tp14,0.7339232109999999,0.75412455,0.778617765,0.742319493,0.771416522,0.8075943959999999,0.6835164840000001,0.728222631,0.787054846,0.648953001,0.706464254,0.7860798590000001,0.6373279820000001,0.7012175890000001,0.7919487,0.6892080341999999,0.7322891092,0.7902591132,0.811566349,0.66983921,0.758306423,0.8578857790000001,0.654192804,0.773986365,0.875464475,0.560602783,0.741657696,0.914971788,0.502775975,0.729314675,0.944751381,0.4808565870000001,0.727664155,0.8809279543999999,0.5736534717999999,0.7461858628,0.002291168837501572,0.04786615544935244,0.0009141599164857382,0.030235077583590526,0.00011665530379539084,0.010800708485807347,0.002651059036783493,0.05148843595200278,0.007385870530918451,0.08594108755955122,0.00039199270857852384,0.019798805736168126,0.2958950969213227,0.2173274596182085,0.14439876670092494,0.18952802359882007,0.15210843373493976,0.23918174665617625,0.2702394526795895,0.1644640234948605,0.08581706063720453,0.15634218289085547,0.10692771084337348,0.17702596380802518,0.23432155074116304,0.1262848751835536,0.07656731757451182,0.10545722713864307,0.08132530120481928,0.15578284815106214,0.2137970353477765,0.11013215859030837,0.052929085303186026,0.08407079646017701,0.05873493975903615,0.024390243902439025,0.16590649942987454,0.07048458149779736,0.04316546762589928,0.07374631268436578,0.042168674698795185,0.007867820613690008,1754,681,1946,1356,664,1271,519.0,148.0,280.99999999999994,257.0,101.0,304.0,473.99999999999994,112.0,167.0,212.00000000000003,70.99999999999999,225.0,410.99999999999994,86.0,149.0,143.0,54.0,197.99999999999997,375.0,75.0,103.0,114.00000000000003,39.00000000000001,31.0,290.99999999999994,48.00000000000001,84.0,100.0,28.000000000000004,10.0
IGRP_WF_5_Kf_tp14,0.724844369,0.734410407,0.745656933,0.731183641,0.7502493570000001,0.7732936309999999,0.672170915,0.707948894,0.75380386,0.653757617,0.703388152,0.770212495,0.631291235,0.690694902,0.773923694,0.6826495554,0.7173383424,0.7633781226,0.760208927,0.6926238370000001,0.738320775,0.80416919,0.670343933,0.754718335,0.8202118820000001,0.56939938,0.723609616,0.874004345,0.52217175,0.724757804,0.911168548,0.482947581,0.71926803,0.8339525783999999,0.5874972962,0.732134912,0.0019295457108044604,0.043926594573270306,0.0005918081853772135,0.024327108035629996,0.00016548552356443903,0.012864117675318391,0.0035201082632489895,0.05933050027809465,0.008360189828789211,0.09143407367491187,0.00021023373554622573,0.0144994391459196,0.4224629418472064,0.2834067547723935,0.2276464542651593,0.4188790560471977,0.2575301204819277,0.3021243115656963,0.2958950969213227,0.2158590308370044,0.13926002055498454,0.3761061946902655,0.19578313253012047,0.24468922108575925,0.2656784492588369,0.16299559471365638,0.09609455292908532,0.1430678466076696,0.11295180722891568,0.1990558615263572,0.23831242873432154,0.11894273127753305,0.06937307297019528,0.10766961651917403,0.08132530120481928,0.04091266719118805,0.17217787913340935,0.07342143906020558,0.05087358684480986,0.07964601769911504,0.06325301204819278,0.013375295043273014,1754,681,1946,1356,664,1271,741.0,193.0,443.0,568.0000000000001,171.0,384.0,519.0,147.0,270.99999999999994,510.00000000000006,130.0,311.0,465.9999999999999,111.0,187.00000000000003,194.0,75.00000000000001,253.0,418.0,81.0,135.0,146.0,54.0,52.000000000000014,302.0,50.0,98.99999999999999,108.0,42.00000000000001,17.0
IGRP_WF_6_Kf_tp14,0.736073575,0.7614170840000001,0.7926055909999999,0.727403582,0.764723895,0.81235698,0.7025641029999999,0.7549391529999999,0.825248875,0.647067259,0.712058278,0.804392784,0.597946406,0.6711054740000001,0.7802002459999999,0.682210985,0.7328487768,0.8029608952,0.835378136,0.65787007,0.765231432,0.8809474979999999,0.619439037,0.768963043,0.933979189,0.563054294,0.762755651,0.96,0.487994809,0.7350914959999999,0.979166667,0.43038431,0.7119842120000001,0.917894298,0.551748504,0.7488051668,0.0034233498971611865,0.05850940007521173,0.001641159084550088,0.04051122171139854,0.00030309255893739174,0.017409553668529004,0.003489975020929273,0.05907601053667447,0.008691354281765802,0.09322743309651833,0.0006036564124810295,0.024569420271569893,0.27309007981755984,0.18795888399412627,0.10431654676258993,0.3495575221238938,0.1882530120481928,0.23682140047206926,0.2474344355758267,0.13509544787077826,0.07399794450154162,0.13864306784660768,0.0933734939759036,0.15656963021243114,0.225769669327252,0.09838472834067548,0.06217882836587872,0.1261061946902655,0.061746987951807226,0.12981904012588513,0.16134549600912199,0.06607929515418502,0.04059609455292909,0.07300884955752213,0.03463855421686747,0.005507474429583006,0.10376282782212087,0.04405286343612335,0.03237410071942446,0.002949852507374631,0.009036144578313251,0.0007867820613690008,1754,681,1946,1356,664,1271,478.99999999999994,128.0,203.0,474.0,125.00000000000003,301.00000000000006,434.00000000000006,92.0,144.0,188.00000000000003,61.999999999999986,198.99999999999997,396.0,67.0,120.99999999999999,171.0,41.0,165.0,282.99999999999994,45.0,79.00000000000001,99.0,23.0,7.000000000000001,182.0,30.0,63.0,3.9999999999999996,5.999999999999998,1.0
IGRP_WF_7_Kf_tp14,0.7309336740000001,0.73373401,0.736960783,0.732871204,0.745884694,0.761334883,0.688679633,0.716900497,0.752124163,0.663292234,0.702640079,0.7537411759999999,0.6366311139999999,0.6897815890000001,0.76253827,0.6904815718,0.7177881738,0.753339855,0.741034381,0.721104622,0.735809114,0.781571639,0.689883914,0.749730893,0.801339713,0.603792631,0.728345892,0.829115293,0.552743529,0.7207391459999999,0.878345807,0.499242916,0.71639756,0.8062813666,0.6133535224000001,0.7302045209999999,0.001768908092290393,0.042058389083396826,0.0005145764194492179,0.02268427692145416,0.00010461106909952411,0.010227955274614967,0.0026517078683152423,0.05149473631659106,0.00856335318518621,0.09253838763014087,0.00017409266597095526,0.013194417985305577,0.4492588369441277,0.3362701908957416,0.1998972250770812,0.44174041297935096,0.2951807228915663,0.31943351691581434,0.3757126567844926,0.2657856093979442,0.17317574511819114,0.2470501474926253,0.20481927710843373,0.2769472856018883,0.2930444697833524,0.2055800293685756,0.12949640287769784,0.18141592920353986,0.15963855421686746,0.14162077104642015,0.2628278221208666,0.16005873715124816,0.10637204522096608,0.1430678466076696,0.12048192771084335,0.08733280881195908,0.2001140250855188,0.11013215859030837,0.08324768756423433,0.11135693215339232,0.0933734939759036,0.04563335955940205,1754,681,1946,1356,664,1271,788.0,229.00000000000003,389.0,598.9999999999999,196.00000000000003,406.0,659.0,181.0,336.99999999999994,334.9999999999999,136.0,352.00000000000006,514.0000000000001,140.0,252.0,246.00000000000006,105.99999999999999,180.0,461.0,109.0,207.0,194.0,79.99999999999999,110.99999999999999,350.99999999999994,75.0,162.0,150.99999999999997,61.999999999999986,58.00000000000001
IGRP_WF_8_Kf_tp14,0.746973558,0.769504675,0.796978298,0.667514471,0.710561989,0.767098712,0.654592023,0.70783925,0.780387795,0.627507027,0.689567079,0.777439385,0.619371118,0.68580885,0.7816289040000001,0.6631916394000001,0.7126563686,0.7807066188000001,0.834207952,0.676256399,0.7720129170000001,0.851818691,0.54877785,0.7279512020000001,0.895059412,0.51597087,0.729027628,0.924740242,0.474872017,0.719447435,0.947024781,0.460162953,0.718550413,0.8905702156,0.5352080177999999,0.7333979190000001,0.002576419954368055,0.05075844712329225,0.0011283063868184127,0.03359027220518483,0.00011539243669366144,0.010742087166545495,0.002263311739984411,0.04757427603216271,0.0074302621959823805,0.08619896864802026,0.0004887371695742681,0.02210740078738946,0.3033067274800456,0.2055800293685756,0.12127440904419322,0.19321533923303835,0.1430722891566265,0.2124311565696302,0.2531356898517674,0.14831130690161526,0.08376156217882838,0.11504424778761063,0.09789156626506024,0.08103855232100708,0.2366020524515393,0.1145374449339207,0.06628982528263104,0.09218289085545722,0.06927710843373494,0.03147128245476003,0.17103762827822122,0.07195301027900147,0.04573484069886948,0.0803834808259587,0.05572289156626506,0.01888276947285602,0.1676168757126568,0.06167400881057269,0.04008221993833504,0.0715339233038348,0.03614457831325301,0.006294256490952006,1754,681,1946,1356,664,1271,532.0,140.0,236.0,262.0,95.0,269.99999999999994,444.0,100.99999999999999,163.00000000000003,156.00000000000003,65.0,103.0,414.99999999999994,78.0,129.0,125.0,46.0,40.0,300.0,49.0,89.00000000000001,109.0,37.0,24.0,294.0,42.0,77.99999999999999,97.0,24.0,8.0
IGRP_WF_9_Kf_tp14,0.740791581,0.75294621,0.767334945,0.737117074,0.75787911,0.7830869359999999,0.689626101,0.7239322440000001,0.7675706109999999,0.667225482,0.711814119,0.770673244,0.65295088,0.706562052,0.7797281620000001,0.6975422236000001,0.730626747,0.7736787796,0.786113134,0.7004109890000001,0.756081808,0.81705712,0.671425481,0.761679225,0.830119748,0.5898045999999999,0.735809114,0.859513526,0.545244791,0.729350556,0.895663105,0.513735669,0.728238249,0.8376933266,0.6041243059999999,0.7422317904,0.0016017083605019949,0.0400213488091293,0.0005546726514546374,0.02355148936807686,5.2923909897335274e-05,0.007274882122573208,0.001745086173475555,0.04177422858025693,0.00641063261120064,0.08006642624221866,0.00024325546819049,0.015596649261635976,0.35689851767388825,0.28193832599118945,0.1670092497430627,0.4041297935103245,0.24096385542168675,0.1888276947285602,0.27765108323831245,0.21145374449339208,0.13463514902363824,0.19837758112094395,0.16114457831325302,0.11487018095987413,0.2628278221208666,0.17327459618208516,0.11921891058581705,0.13053097345132744,0.11746987951807228,0.05979543666404406,0.24401368301026224,0.1262848751835536,0.08478931140801645,0.10619469026548672,0.08734939759036145,0.04405979543666405,0.2234891676168757,0.0998531571218796,0.056012332990750265,0.09292035398230088,0.06927710843373494,0.03383162863886703,1754,681,1946,1356,664,1271,626.0,192.00000000000003,325.0,548.0,160.0,240.00000000000003,487.00000000000006,144.0,262.0,269.0,107.0,146.00000000000003,461.0,117.99999999999999,231.99999999999997,177.0,78.0,76.0,428.0,86.0,165.0,144.0,58.0,56.00000000000001,392.0,68.00000000000001,109.00000000000001,125.99999999999999,46.0,43.0
IGRP_WF_10_Kf_tp14,0.72891425,0.746494478,0.7676539840000001,0.740016234,0.767018781,0.800396819,0.690675576,0.732417023,0.7867578740000001,0.609386077,0.667499099,0.749145925,0.590395065,0.6561508429999999,0.751851575,0.6718774404,0.7139160447999999,0.7711612354,0.795852181,0.672362824,0.751130248,0.8464395140000001,0.657365347,0.7701471120000001,0.867182393,0.573869782,0.744205239,0.88436214,0.464849665,0.7034445640000001,0.919487649,0.434782609,0.699784715,0.8626647754000001,0.5606460454000001,0.7337423756000001,0.004698502686265854,0.06854562485137804,0.002428723123111348,0.04928207709818396,0.0004919530433015205,0.022180014501832962,0.0021118013353709957,0.04595433967941435,0.011757170063144431,0.10843048493456271,0.0009520486376632788,0.030855285408877338,0.3825541619156214,0.2393538913362702,0.16135662898252826,0.3628318584070797,0.2093373493975904,0.24704956726986624,0.3181299885974915,0.2026431718061674,0.1366906474820144,0.3414454277286136,0.17319277108433734,0.23131392604248624,0.2622576966932725,0.1512481644640235,0.12024665981500515,0.28982300884955753,0.13253012048192772,0.2014162077104642,0.17103762827822122,0.08663729809104258,0.04984583761562179,0.08407079646017701,0.060240963855421686,0.022816679779701025,0.16134549600912199,0.06607929515418502,0.0421377183967112,0.07300884955752213,0.043674698795180725,0.014948859166011016,1754,681,1946,1356,664,1271,671.0,163.0,314.0,492.0000000000001,139.00000000000003,314.0,558.0,138.0,266.0,463.0,114.99999999999999,294.0,459.99999999999994,103.0,234.00000000000003,393.0,88.0,256.0,300.0,58.99999999999999,97.0,114.00000000000003,40.0,29.000000000000004,282.99999999999994,45.0,82.0,99.0,29.0,19.0
