model_name,training_type,folds,weight_by_class,test_size,LOO,kernel,size_of_net,num_concepts,num_fc_layers,units_fc,num_agg_layers,units_agg,epochs_min,combine_train_valid,train_loss_min,hinge_loss_t,accuracy_min,qualitative_agg,quantitative_agg,drop_out_rate,multisample_dropout,multisample_dropout_rate,subsample,subsample_valid_test,l2_reg
IGRP_WF_1_Kf_add_dist,K-fold,5,False,N.A.,N.A.,3,medium,24,0,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_2_Kf_add_dist,K-fold,5,False,N.A.,N.A.,3,medium,24,1,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_3_Kf_add_dist,K-fold,5,False,N.A.,N.A.,3,medium,36,0,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_4_Kf_add_dist,K-fold,5,False,N.A.,N.A.,3,medium,36,1,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_5_Kf_add_dist,K-fold,5,False,N.A.,N.A.,3,small,24,0,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_6_Kf_add_dist,K-fold,5,False,N.A.,N.A.,3,small,24,1,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_7_Kf_add_dist,K-fold,5,False,N.A.,N.A.,3,small,36,0,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_8_Kf_add_dist,K-fold,5,False,N.A.,N.A.,3,small,36,1,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_9_Kf_add_dist,K-fold,5,False,N.A.,N.A.,5,medium,24,0,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_10_Kf_add_dist,K-fold,5,False,N.A.,N.A.,5,medium,24,1,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_11_Kf_add_dist,K-fold,5,False,N.A.,N.A.,5,medium,36,0,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_12_Kf_add_dist,K-fold,5,False,N.A.,N.A.,5,medium,36,1,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_13_Kf_add_dist,K-fold,5,False,N.A.,N.A.,5,small,24,0,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_14_Kf_add_dist,K-fold,5,False,N.A.,N.A.,5,small,24,1,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_15_Kf_add_dist,K-fold,5,False,N.A.,N.A.,5,small,36,0,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_16_Kf_add_dist,K-fold,5,False,N.A.,N.A.,5,small,36,1,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_17_Kf_add_dist,K-fold,5,True,N.A.,N.A.,3,medium,24,0,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_18_Kf_add_dist,K-fold,5,True,N.A.,N.A.,3,medium,24,1,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_19_Kf_add_dist,K-fold,5,True,N.A.,N.A.,3,medium,36,0,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_20_Kf_add_dist,K-fold,5,True,N.A.,N.A.,3,medium,36,1,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_21_Kf_add_dist,K-fold,5,True,N.A.,N.A.,3,small,24,0,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_22_Kf_add_dist,K-fold,5,True,N.A.,N.A.,3,small,24,1,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_23_Kf_add_dist,K-fold,5,True,N.A.,N.A.,3,small,36,0,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
