model_name,TP (Kas_Gearty_no_cut)_rk,FP (Kas_Gearty_no_cut)_rk,TN (Kas_Gearty_no_cut)_rk,FN (Kas_Gearty_no_cut)_rk,accuracy (Kas_Gearty_no_cut)_rk,precision (Kas_Gearty_no_cut)_rk,recall (Kas_Gearty_no_cut)_rk,specificity (Kas_Gearty_no_cut)_rk,f1_score (Kas_Gearty_no_cut)_rk,b_accuracy (Kas_Gearty_no_cut)_rk,AUC_value_inf (Kas_Gearty_no_cut)_rk,AUC_value_trn (Kas_Gearty_no_cut)_rk,mcc (Kas_Gearty_no_cut)_rk,log_loss (Kas_Gearty_no_cut)_rk,kappa (Kas_Gearty_no_cut)_rk,fall_out (Kas_Gearty_no_cut)_rk,miss_rate (Kas_Gearty_no_cut)_rk,NPV (Kas_Gearty_no_cut)_rk,lr_plus (Kas_Gearty_no_cut)_rk,lr_minus (Kas_Gearty_no_cut)_rk
IGRP_WF_1_Kf_dist,6.0,21.0,76.0,91.0,10.0,71.0,6.0,76.0,6.0,10.0,62.0,1.0,14.0,2.0,10.0,21.0,91.0,5.0,71.0,92.0
IGRP_WF_2_Kf_dist,81.0,72.0,25.0,16.0,82.0,31.0,81.0,25.0,82.0,82.0,58.0,72.0,83.0,77.0,82.0,72.0,16.0,82.0,31.0,15.0
IGRP_WF_3_Kf_dist,46.0,9.0,88.0,51.0,72.0,92.0,46.0,88.0,59.0,72.0,44.0,1.0,79.0,19.0,72.0,9.0,51.0,59.0,92.0,38.0
IGRP_WF_4_Kf_dist,15.0,44.0,53.0,82.0,6.0,39.0,15.0,53.0,9.0,6.0,61.0,72.0,7.0,40.0,6.0,44.0,82.0,11.0,39.0,86.0
IGRP_WF_5_Kf_dist,31.0,19.0,78.0,66.0,46.0,81.0,31.0,78.0,38.0,46.0,51.0,1.0,64.0,33.0,46.0,19.0,66.0,38.0,81.0,59.0
IGRP_WF_6_Kf_dist,68.0,74.0,23.0,29.0,54.0,15.0,68.0,23.0,65.0,54.0,15.0,1.0,38.0,84.0,54.0,74.0,29.0,64.0,15.0,33.0
IGRP_WF_7_Kf_dist,21.0,8.0,89.0,76.0,33.0,84.0,21.0,89.0,25.0,33.0,67.0,1.0,50.0,30.0,33.0,8.0,76.0,25.0,84.0,72.0
IGRP_WF_8_Kf_dist,83.0,85.0,12.0,14.0,83.0,13.0,83.0,12.0,83.0,83.0,87.0,87.0,81.0,47.0,83.0,85.0,14.0,83.0,13.0,14.0
IGRP_WF_9_Kf_dist,5.0,2.0,95.0,92.0,19.0,93.0,5.0,95.0,12.0,19.0,75.0,87.0,29.0,8.0,19.0,2.0,92.0,8.0,93.0,89.0
IGRP_WF_10_Kf_dist,26.0,45.0,52.0,71.0,20.0,45.0,26.0,52.0,24.0,22.0,79.0,72.0,15.0,44.0,21.0,45.0,71.0,24.0,45.0,73.0
IGRP_WF_11_Kf_dist,54.0,20.0,77.0,43.0,76.0,85.0,54.0,77.0,64.0,76.0,92.0,61.0,80.0,29.0,76.0,20.0,43.0,65.0,85.0,32.0
IGRP_WF_12_Kf_dist,74.0,71.0,26.0,23.0,65.0,20.0,74.0,26.0,71.0,66.0,35.0,72.0,47.0,56.0,66.0,71.0,23.0,71.0,20.0,26.0
IGRP_WF_13_Kf_dist,24.0,58.0,39.0,73.0,14.0,30.0,24.0,39.0,20.0,14.0,4.0,91.0,9.0,96.0,14.0,58.0,73.0,21.0,30.0,76.0
IGRP_WF_14_Kf_dist,77.0,82.0,15.0,20.0,74.0,8.0,77.0,15.0,77.0,75.0,70.0,72.0,56.0,73.0,75.0,82.0,20.0,77.0,8.0,20.0
