model_name,TP (Kas_Gearty_no_cut),FP (Kas_Gearty_no_cut),TN (Kas_Gearty_no_cut),FN (Kas_Gearty_no_cut),accuracy (Kas_Gearty_no_cut),precision (Kas_Gearty_no_cut),recall (Kas_Gearty_no_cut),specificity (Kas_Gearty_no_cut),f1_score (Kas_Gearty_no_cut),b_accuracy (Kas_Gearty_no_cut),AUC_value_inf (Kas_Gearty_no_cut),AUC_value_trn (Kas_Gearty_no_cut),mcc (Kas_Gearty_no_cut),log_loss (Kas_Gearty_no_cut),kappa (Kas_Gearty_no_cut),fall_out (Kas_Gearty_no_cut),miss_rate (Kas_Gearty_no_cut),NPV (Kas_Gearty_no_cut),lr_plus (Kas_Gearty_no_cut),lr_minus (Kas_Gearty_no_cut)
IGRP_WF_1_Kf_dist,9479.0,2744.0,11257.0,4390.0,0.7440258342303552,0.7755051951239467,0.6834667243492681,0.8040139990000714,0.7265828606469416,0.7437403616746698,0.8022505618231723,1.0,0.4911963167865313,0.7144612206691815,0.4877536023074579,0.19598600099992847,0.31653327565073186,0.7194350354700582,3.4873242010255487,0.3936912492125697
IGRP_WF_2_Kf_dist,8756.0,1162.0,12839.0,5113.0,0.7748475062791532,0.8828392821133293,0.6313360732569039,0.9170059281479894,0.736200445621558,0.7741710007024467,0.8029378292556166,0.92,0.5726445647454119,0.6030032159692424,0.5490793653268911,0.08299407185201058,0.3686639267430961,0.7151849376114082,7.607002032418167,0.4020300364771469
IGRP_WF_3_Kf_dist,9567.0,2380.0,11621.0,4302.0,0.7602439899533548,0.8007868084037834,0.6898118105126542,0.8300121419898578,0.7411682677409358,0.7599119762512561,0.8064585520963555,1.0,0.5251900742052732,0.670656022040279,0.5201637601954934,0.16998785801014213,0.3101881894873459,0.7298247817622308,4.058006369322552,0.37371524318151017
IGRP_WF_4_Kf_dist,9106.0,1605.0,12396.0,4763.0,0.7715105848582705,0.8501540472411541,0.6565722114067345,0.8853653310477823,0.7409275834011392,0.7709687712272584,0.8023355397360991,0.92,0.557045079923535,0.6474968862218918,0.5425198702318246,0.1146346689522177,0.3434277885932656,0.7224197214289877,5.727518711467719,0.3878938744832455
IGRP_WF_5_Kf_dist,9575.0,2591.0,11410.0,4294.0,0.7529601722282023,0.7870294262699326,0.6903886365275074,0.8149417898721519,0.7355483003648934,0.7526652131998297,0.8054753708789453,1.0,0.5094464037077128,0.6544749606402065,0.5056230984738292,0.185058210127848,0.30961136347249263,0.7265664798777381,3.730656619074346,0.3799183786133541
IGRP_WF_6_Kf_dist,8843.0,1416.0,12585.0,5026.0,0.7688554000717618,0.8619748513500342,0.6376090561684332,0.8988643668309406,0.7330072944297082,0.7682367114996869,0.8109334418183174,1.0,0.5561677346580364,0.5985551389210276,0.5371324881603927,0.10113563316905937,0.3623909438315668,0.7146101868150587,6.3044946295298265,0.403165324162556
IGRP_WF_7_Kf_dist,9632.0,3013.0,10988.0,4237.0,0.7398636526731253,0.7617240015816529,0.6944985218833369,0.7848010856367402,0.7265595534434638,0.7396498037600385,0.8011342720598911,1.0,0.4813612294857585,0.6592972904799795,0.4794990919199851,0.21519891436325966,0.30550147811666306,0.7217077175697866,3.2272398954160644,0.3892724968248453
IGRP_WF_8_Kf_dist,8008.0,1185.0,12816.0,5861.0,0.7471833512737711,0.8710975742412705,0.5774028408681231,0.9153631883436896,0.6944757609921083,0.7463830146059064,0.7953078029937284,0.8400000000000001,0.524035456790426,0.6336692231930833,0.4935504440155447,0.08463681165631026,0.4225971591318768,0.6861915725223537,6.822124198307673,0.4616715687426192
IGRP_WF_9_Kf_dist,9685.0,2719.0,11282.0,4184.0,0.7523143164693219,0.7807965172524992,0.6983199942317398,0.8057995857438754,0.7372587827808016,0.7520597899878076,0.7999562946455587,0.8400000000000001,0.507184281915242,0.7008485698259452,0.5043707265326687,0.19420041425612453,0.3016800057682601,0.7294710978921505,3.5958728353212908,0.3743859032761399
IGRP_WF_10_Kf_dist,9032.0,1686.0,12315.0,4837.0,0.7659490491567994,0.8426945325620452,0.6512365707693417,0.8795800299978573,0.7346971977061049,0.7654083003835995,0.7988114437341597,0.92,0.5455472087207967,0.6423565451193107,0.5313857131153681,0.1204199700021427,0.3487634292306583,0.7179920708955224,5.408044618826544,0.396511309188668
IGRP_WF_11_Kf_dist,8550.0,2079.0,11922.0,5319.0,0.7345532831001076,0.8044030482641829,0.6164828033744322,0.8515106063852582,0.698016164584864,0.7339967048798453,0.7914462183512958,0.96,0.4817418874447354,0.6595344890066421,0.4685093542849197,0.1484893936147418,0.3835171966255678,0.6914912128066818,4.151695877847727,0.4503962648846314
IGRP_WF_12_Kf_dist,8399.0,1239.0,12762.0,5470.0,0.7592752063150341,0.8714463581655946,0.6055952123440768,0.9115063209770732,0.7145956523588718,0.7585507666605749,0.8078779783294632,0.92,0.543584807639495,0.6248675587626156,0.5178462371417961,0.08849367902292693,0.3944047876559233,0.699978060552874,6.843372532711396,0.43269561447818383
IGRP_WF_13_Kf_dist,9229.0,1938.0,12063.0,4640.0,0.7639756010046646,0.8264529417032327,0.6654409113851034,0.8615813156203128,0.7372583479789103,0.7635111135027082,0.8160713482611321,0.8,0.537731570765185,0.5659961052855813,0.5275066815578888,0.13841868437968716,0.3345590886148965,0.7222055918098546,4.807450051755848,0.3883081985987869
IGRP_WF_14_Kf_dist,8062.0,929.0,13072.0,5807.0,0.7583064226767133,0.8966744522300077,0.5812964164683827,0.9336475966002428,0.7053368328958879,0.7574720065343128,0.8010859920808784,0.92,0.5507679030424989,0.6095215040788049,0.5157992022415221,0.06635240339975716,0.4187035835316173,0.6924095555908681,8.760743947226938,0.4484599811066534
