model name,t50_bld_pd1,t60_bld_pd1,t70_bld_pd1,t80_bld_pd1,t90_bld_pd1,nseq_bld_pd1
IGRP_WF_10_Kf_dist,0.133977901,0.099447514,0.080110497,0.062154696,0.046961326,724
IGRP_WF_11_Kf_dist,0.178176796,0.140883978,0.11878453,0.082872928,0.05801105,724
IGRP_WF_12_Kf_dist,0.116022099,0.096685083,0.071823204,0.038674033,0.026243094,724
IGRP_WF_13_Kf_dist,0.172651934,0.129834254,0.084254144,0.051104972,0.034530387,724
IGRP_WF_14_Kf_dist,0.102209945,0.078729282,0.049723757,0.035911602,0.027624309,724
IGRP_WF_15_Kf_dist,0.180939227,0.14640884,0.111878453,0.07320442,0.038674033,724
IGRP_WF_16_Kf_dist,0.165745856,0.117403315,0.087016575,0.051104972,0.024861878,724
IGRP_WF_17_Kf_dist,0.19198895,0.145027624,0.102209945,0.075966851,0.059392265,724
IGRP_WF_18_Kf_dist,0.10359116,0.082872928,0.053867403,0.04558011,0.026243094,724
IGRP_WF_19_Kf_dist,0.164364641,0.109116022,0.074585635,0.056629834,0.049723757,724
IGRP_WF_1_Kf_dist,0.196132597,0.168508287,0.138121547,0.096685083,0.052486188,724
IGRP_WF_20_Kf_dist,0.121546961,0.092541436,0.067679558,0.049723757,0.041436464,724
IGRP_WF_21_Kf_dist,0.198895028,0.157458564,0.096685083,0.067679558,0.048342541,724
IGRP_WF_22_Kf_dist,0.087016575,0.066298343,0.04281768,0.033149171,0.011049724,724
IGRP_WF_23_Kf_dist,0.113259669,0.078729282,0.05801105,0.029005525,0.013812155,724
IGRP_WF_24_Kf_dist,0.114640884,0.084254144,0.055248619,0.03038674,0.019337017,724
IGRP_WF_25_Kf_dist,0.20441989,0.167127072,0.122928177,0.091160221,0.070441989,724
IGRP_WF_26_Kf_dist,0.111878453,0.096685083,0.064917127,0.05801105,0.035911602,724
IGRP_WF_27_Kf_dist,0.218232044,0.175414365,0.117403315,0.082872928,0.055248619,724
IGRP_WF_28_Kf_dist,0.127071823,0.106353591,0.084254144,0.064917127,0.052486188,724
IGRP_WF_29_Kf_dist,0.145027624,0.128453039,0.095303867,0.055248619,0.022099448,724
IGRP_WF_2_Kf_dist,0.095303867,0.074585635,0.056629834,0.044198895,0.03038674,724
IGRP_WF_30_Kf_dist,0.113259669,0.078729282,0.049723757,0.035911602,0.020718232,724
IGRP_WF_31_Kf_dist,0.201657459,0.165745856,0.109116022,0.067679558,0.04558011,724
IGRP_WF_32_Kf_dist,0.100828729,0.07320442,0.053867403,0.04281768,0.020718232,724
IGRP_WF_33_Mc_dist,0.169889503,0.145027624,0.111878453,0.085635359,0.055248619,724
IGRP_WF_34_Mc_dist,0.135359116,0.082872928,0.064917127,0.052486188,0.027624309,724
IGRP_WF_35_Mc_dist,0.215469613,0.179558011,0.143646409,0.10359116,0.064917127,724
IGRP_WF_36_Mc_dist,0.145027624,0.120165746,0.093922652,0.066298343,0.041436464,724
IGRP_WF_37_Mc_dist,0.216850829,0.17679558,0.128453039,0.099447514,0.052486188,724
IGRP_WF_38_Mc_dist,0.107734807,0.082872928,0.070441989,0.04281768,0.013812155,724
IGRP_WF_39_Mc_dist,0.214088398,0.168508287,0.127071823,0.078729282,0.046961326,724
IGRP_WF_3_Kf_dist,0.212707182,0.175414365,0.136740331,0.107734807,0.066298343,724
IGRP_WF_40_Mc_dist,0.133977901,0.102209945,0.066298343,0.041436464,0.029005525,724
IGRP_WF_41_Mc_dist,0.185082873,0.138121547,0.098066298,0.070441989,0.049723757,724
IGRP_WF_42_Mc_dist,0.133977901,0.098066298,0.081491713,0.062154696,0.04558011,724
IGRP_WF_43_Mc_dist,0.189226519,0.156077348,0.128453039,0.104972376,0.059392265,724
IGRP_WF_44_Mc_dist,0.142265193,0.113259669,0.089779006,0.059392265,0.037292818,724
IGRP_WF_45_Mc_dist,0.174033149,0.153314917,0.117403315,0.078729282,0.046961326,724
IGRP_WF_46_Mc_dist,0.11878453,0.085635359,0.059392265,0.04281768,0.017955801,724
IGRP_WF_47_Mc_dist,0.190607735,0.168508287,0.128453039,0.092541436,0.05801105,724
IGRP_WF_48_Mc_dist,0.098066298,0.078729282,0.060773481,0.046961326,0.027624309,724
IGRP_WF_49_Mc_dist,0.185082873,0.154696133,0.113259669,0.084254144,0.04281768,724
IGRP_WF_4_Kf_dist,0.129834254,0.102209945,0.081491713,0.060773481,0.041436464,724
