model name,t50_panc_pd1,t60_panc_pd1,t70_panc_pd1,t80_panc_pd1,t90_panc_pd1,nseq_panc_pd1
IGRP_WF_10_Kf_dist,0.11996337,0.108058608,0.093406593,0.087912088,0.087912088,1092
IGRP_WF_11_Kf_dist,0.152014652,0.138278388,0.128205128,0.10989011,0.088827839,1092
IGRP_WF_12_Kf_dist,0.114468864,0.108058608,0.091575092,0.078754579,0.05952381,1092
IGRP_WF_13_Kf_dist,0.142857143,0.128205128,0.111721612,0.083333333,0.068681319,1092
IGRP_WF_14_Kf_dist,0.123626374,0.113553114,0.102564103,0.078754579,0.066849817,1092
IGRP_WF_15_Kf_dist,0.151098901,0.139194139,0.130952381,0.113553114,0.077838828,1092
IGRP_WF_16_Kf_dist,0.145604396,0.132783883,0.107142857,0.082417582,0.035714286,1092
IGRP_WF_17_Kf_dist,0.226190476,0.165750916,0.114468864,0.097985348,0.08974359,1092
IGRP_WF_18_Kf_dist,0.107142857,0.098901099,0.093406593,0.083333333,0.058608059,1092
IGRP_WF_19_Kf_dist,0.143772894,0.112637363,0.107142857,0.095238095,0.086080586,1092
IGRP_WF_1_Kf_dist,0.162087912,0.153846154,0.137362637,0.116300366,0.097985348,1092
IGRP_WF_20_Kf_dist,0.114468864,0.107142857,0.090659341,0.086996337,0.081501832,1092
IGRP_WF_21_Kf_dist,0.171245421,0.165750916,0.115384615,0.105311355,0.084249084,1092
IGRP_WF_22_Kf_dist,0.115384615,0.104395604,0.078754579,0.075091575,0.022893773,1092
IGRP_WF_23_Kf_dist,0.125457875,0.091575092,0.087912088,0.056776557,0.027472527,1092
IGRP_WF_24_Kf_dist,0.134615385,0.11996337,0.101648352,0.06043956,0.046703297,1092
IGRP_WF_25_Kf_dist,0.182234432,0.16025641,0.142857143,0.100732601,0.095238095,1092
IGRP_WF_26_Kf_dist,0.110805861,0.098901099,0.097069597,0.087912088,0.073260073,1092
IGRP_WF_27_Kf_dist,0.176739927,0.164835165,0.131868132,0.112637363,0.083333333,1092
IGRP_WF_28_Kf_dist,0.126373626,0.108974359,0.104395604,0.092490842,0.074175824,1092
