model name,TP,FP,TN,FN,accuracy,precision,recall,specificity,F1 score,F0.5 score,F0.75 score,b accuracy,AUC value inf,AUC value trn,mcc,log loss,kappa,fall out,miss rate,NPV,lr plus,lr minus,t70_bld_igg,nseq_bld_igg,t70_bld_pd1,nseq_bld_pd1,t70_bld_spt,nseq_bld_spt,t70_pln_igg,nseq_pln_igg,t70_pln_pd1,nseq_pln_pd1,t70_pln_spt,nseq_pln_spt,t70_panc_igg,nseq_panc_igg,t70_panc_pd1,nseq_panc_pd1,t70_panc_spt,nseq_panc_spt
IGRP_WF_1_Kf_tp8,9222,2124,11877,4647,0.757050592,0.812797462,0.664936189,0.84829655,0.731469363,0.778188447,0.7525533940000001,0.7566163690000001,0.802250562,1.0,0.522320981,0.714461221,0.513673237,0.15170345,0.335063811,0.7187726940000001,4.383131628,0.394984291,0.14457831325301204,664,0.13812154696132597,724,0.19089574155653452,681,0.12037765538945712,1271,0.1590909090909091,220,0.13052415210688592,1946,0.18436578171091444,1356,0.13736263736263737,1092,0.282212086659065,1754
IGRP_WF_2_Kf_tp8,8392,874,13127,5477,0.77212056,0.905676667,0.60509049,0.937575887,0.725480873,0.823827381,0.768281474,0.771333189,0.8029378290000001,0.92,0.57595122,0.6030032160000001,0.543516719,0.062424112999999996,0.39490951,0.7056009459999999,9.693217328,0.42120271600000003,0.0572289156626506,664,0.05662983425414365,724,0.11894273127753303,681,0.01966955153422502,1271,0.07272727272727272,220,0.0565262076053443,1946,0.12168141592920353,1356,0.08791208791208792,1092,0.23432155074116306,1754
IGRP_WF_3_Kf_tp8,8783,1930,12071,5086,0.748259778,0.819845048,0.633282861,0.862152703,0.71458791,0.77422824,0.741233978,0.747717782,0.806458552,1.0,0.509228911,0.6706560220000001,0.49596758700000004,0.13784729699999998,0.36671713899999997,0.7035612290000001,4.594089812,0.425350564,0.13855421686746988,664,0.13674033149171272,724,0.18061674008810572,681,0.10464201416207711,1271,0.17272727272727273,220,0.131551901336074,1946,0.19690265486725664,1356,0.13644688644688643,1092,0.2725199543899658,1754
IGRP_WF_4_Kf_tp8,8682,1229,12772,5187,0.769788303,0.875996368,0.626000433,0.912220556,0.73019344,0.811204754,0.765886725,0.7691104940000001,0.80233554,0.92,0.562163854,0.647496886,0.538946026,0.087779444,0.37399956700000003,0.711175455,7.131515099,0.40998809399999997,0.08132530120481928,664,0.08149171270718232,724,0.14831130690161526,681,0.07553107789142408,1271,0.10909090909090909,220,0.07708119218910586,1946,0.1415929203539823,1356,0.1043956043956044,1092,0.2844925883694413,1754
IGRP_WF_5_Kf_tp8,9095,1872,12129,4774,0.7615357009999999,0.8293060999999999,0.655779076,0.866295265,0.732404574,0.787623188,0.757177157,0.76103717,0.805475371,1.0,0.534328861,0.654474961,0.522589804,0.133704735,0.344220924,0.717564929,4.904681003,0.39734827,0.13102409638554216,664,0.12154696132596685,724,0.18795888399412627,681,0.13060582218725414,1271,0.1590909090909091,220,0.11099691675231244,1946,0.17404129793510326,1356,0.14102564102564102,1092,0.2782212086659065,1754
IGRP_WF_6_Kf_tp8,8702,795,13206,5167,0.78607822,0.916289355,0.627442498,0.943218342,0.744842934,0.839038125,0.786023204,0.78533042,0.8109334420000001,1.0,0.602000589,0.598555139,0.571510105,0.056781658,0.37255750200000004,0.7187721109999999,11.05009108,0.39498543,0.06475903614457831,664,0.07320441988950276,724,0.11013215859030837,681,0.014948859166011016,1271,0.10454545454545454,220,0.0632065775950668,1946,0.11946902654867257,1356,0.09065934065934066,1092,0.22976054732041049,1754
IGRP_WF_7_Kf_tp8,9295,2228,11773,4574,0.755938285,0.8066475740000001,0.670199726,0.8408685090000001,0.732120353,0.77508714,0.75156296,0.7555341179999999,0.801134272,1.0,0.5188946329999999,0.65929729,0.511476078,0.15913149099999999,0.329800274,0.7201933079999999,4.2116096789999995,0.392213848,0.13855421686746988,664,0.143646408839779,724,0.20704845814977973,681,0.11408339889850512,1271,0.17272727272727273,220,0.10842754367934224,1946,0.1836283185840708,1356,0.14835164835164835,1092,0.3050171037628278,1754
IGRP_WF_8_Kf_tp8,7692,826,13175,6177,0.7487262290000001,0.90302888,0.5546182129999999,0.941004214,0.687184527,0.8022360820000001,0.7364740390000001,0.7478112140000001,0.7953078029999999,0.84,0.537924477,0.633669223,0.496525486,0.058995785999999995,0.44538178700000003,0.680808185,9.40098015,0.473304774,0.046686746987951805,664,0.062154696132596686,724,0.11013215859030837,681,0.025963808025177025,1271,0.08181818181818182,220,0.05806783144912641,1946,0.07964601769911504,1356,0.11813186813186813,1092,0.22519954389965793,1754
IGRP_WF_9_Kf_tp8,9398,2212,11789,4471,0.760208109,0.809474591,0.677626361,0.842011285,0.737705561,0.7791540240000001,0.7564854259999999,0.7598188229999999,0.799956295,0.84,0.527019067,0.70084857,0.520036937,0.157988715,0.322373639,0.72503075,4.289080777,0.382861423,0.19578313253012047,664,0.1477900552486188,724,0.21145374449339208,681,0.12981904012588513,1271,0.18181818181818182,220,0.1104830421377184,1946,0.35988200589970504,1356,0.14560439560439561,1092,0.29076396807297605,1754
IGRP_WF_10_Kf_tp8,8881,1330,12671,4988,0.7733046290000001,0.8697483109999999,0.64034898,0.905006785,0.737624585,0.811598706,0.7703931690000001,0.772677882,0.798811444,0.92,0.56593274,0.642356545,0.5460346620000001,0.094993215,0.35965102,0.717537799,6.740997042,0.39740146299999995,0.0858433734939759,664,0.08011049723756906,724,0.1395007342143906,681,0.1778127458693942,1271,0.10454545454545454,220,0.11870503597122302,1946,0.14970501474926254,1356,0.09340659340659341,1092,0.2542759407069555,1754
IGRP_WF_11_Kf_tp8,7969,1649,12352,5900,0.729135271,0.8285506340000001,0.574590814,0.882222698,0.678588155,0.761257905,0.714813659,0.7284067559999999,0.7914462179999999,0.96,0.48044472299999996,0.659534489,0.45747450700000003,0.11777730199999999,0.425409186,0.6767477540000001,4.878620975,0.48220158799999996,0.11897590361445783,664,0.11878453038674033,724,0.1776798825256975,681,0.08497246262785209,1271,0.1409090909090909,220,0.11510791366906475,1946,0.14380530973451328,1356,0.1282051282051282,1092,0.2628278221208666,1754
IGRP_WF_12_Kf_tp8,7675,917,13084,6194,0.744851094,0.8932728120000001,0.5533924579999999,0.9345046779999999,0.683406794,0.795551133,0.7315292440000001,0.743948568,0.8078779779999999,0.92,0.5282654999999999,0.624867559,0.48877380299999995,0.06549532200000001,0.446607542,0.67870111,8.449343297999999,0.47790829999999995,0.10843373493975904,664,0.0718232044198895,724,0.10425844346549193,681,0.14319433516915814,1271,0.08636363636363636,220,0.0565262076053443,1946,0.2935103244837758,1356,0.09157509157509157,1092,0.21436716077537057,1754
