exp,mouse,cells,tissue
mTCR-M1-CD8,M1,CD8,PLO
mTCR-M1-TETpos,M1,TETpos,PLO
mTCR-M2-CD8,M2,CD8,PLO
mTCR-M2-TETpos,M2,TETpos,PLO
mTCR-M3-CD8,M3,CD8,PLO
mTCR-M3-TETpos,M3,TETpos,PLO
mTCR-M4-CD8,M4,CD8,PLO
mTCR-M4-TETpos,M4,TETpos,PLO
mTCR-M5-CD8,M5,CD8,PLO
mTCR-M5-TETpos,M5,TETpos,PLO
mTCR-M6-CD8,M6,CD8,PLO
mTCR-M6-TETpos,M6,TETpos,PLO
mTCR-M7-CD8,M7,CD8,PLO
mTCR-M7-TETpos,M7,TETpos,PLO
mTCR-M8-CD8,M8,CD8,PLO
mTCR-M8-TETpos,M8,TETpos,PLO
mTCR-M9-TETpos,M9,TETpos,PLO
mTCR-M10-TETpos,M10,TETpos,PLO
mTCR-M11-TETpos,M11,TETpos,PLO
mTCR-M12-TETpos,M12,TETpos,PLO
mTCR-M13-TETpos,M13,TETpos,PLO
mTCR-M14-TETpos,M14,TETpos,PLO
