exp,mouse,cells,tissue,sorted cell no
mTCR-M1-CD8,M1,CD8,PLO,100000
mTCR-M1-TETpos,M1,TETpos,PLO,5241
mTCR-M2-CD8,M2,CD8,PLO,100000
mTCR-M2-TETpos,M2,TETpos,PLO,17139
mTCR-M3-CD8,M3,CD8,PLO,100000
mTCR-M3-TETpos,M3,TETpos,PLO,23052
mTCR-M4-CD8,M4,CD8,PLO,100000
mTCR-M4-TETpos,M4,TETpos,PLO,41112
mTCR-M5-CD8,M5,CD8,PLO,100000
mTCR-M5-TETpos,M5,TETpos,PLO,1335
mTCR-M6-CD8,M6,CD8,PLO,100000
mTCR-M6-TETpos,M6,TETpos,PLO,5121
mTCR-M7-CD8,M7,CD8,PLO,100000
mTCR-M7-TETpos,M7,TETpos,PLO,2544
mTCR-M8-CD8,M8,CD8,PLO,100000
mTCR-M8-TETpos,M8,TETpos,PLO,381
